DateTime,Outdoor_Temperature,DH_Heating_Rate
 01/08  03:30:00,7.62,188.52
 01/08  03:45:00,7.43,187.1
 01/08  04:00:00,7.24,188.66
 01/08  04:15:00,7.0475,188.21
 01/08  04:30:00,6.855,189.39
 01/08  04:45:00,6.6625,191.51
 01/08  05:00:00,6.47,191.54
 01/08  05:15:00,6.4275,189.84
 01/08  05:30:00,6.385,193.14
 01/08  05:45:00,6.3425,189.93
 01/08  06:00:00,6.3,190.56
 01/08  06:15:00,6.255,190.88
 01/08  06:30:00,6.21,192.42
 01/08  06:45:00,6.165,189.52
 01/08  07:00:00,6.12,190.09
 01/08  07:15:00,6.0775,193.91
 01/08  07:30:00,6.035,193.6
 01/08  07:45:00,5.9925,195.34
 01/08  08:00:00,5.95,196.76
 01/08  08:15:00,6.17,192.08
 01/08  08:30:00,6.39,189.16
 01/08  08:45:00,6.61,187.21
 01/08  09:00:00,6.83,181.51
 01/08  09:15:00,7.0475,181.09
 01/08  09:30:00,7.265,175.8
 01/08  09:45:00,7.4825,177.22
 01/08  10:00:00,7.7,177.86
 01/08  10:15:00,7.92,180.9
 01/08  10:30:00,8.14,185.14
 01/08  10:45:00,8.36,188.38
 01/08  11:00:00,8.58,189.52
 01/08  11:15:00,8.71,187.15
 01/08  11:30:00,8.84,188.83
 01/08  11:45:00,8.97,187.77
 01/08  12:00:00,9.1,186.62
 01/08  12:15:00,9.2275,178.36
 01/08  12:30:00,9.355,172.78
